;class;message;stemmed;not_stemmed
3290;spam;Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days;camera award six digit camera call phonenumb fromm landmin deliveri within number day;camera you are awarded a six digital camera call phonenumber fromm landmine delivery within number days
3291;ham;My tuition is at 330. Hm we go for the 1120 to 1205 one? Do you mind?;tuition number hm go number number one mind;my tuition is at number hm we go for the number to number one do you mind
3292;ham;"I'm not smoking while people use ""wylie smokes too much"" to justify ruining my shit";smoke peopl use wyli smoke much justifi ruin shit;i m not smoking while people use wylie smokes too much to justify ruining my shit
3293;ham;Dear good morning how you feeling dear;dear good morn feel dear;dear good morning how you feeling dear
3294;ham;A little. Meds say take once every 8 hours. It's only been 5 but pain is back. So I took another. Hope I don't die;littl mess say take everi number hour number pain back took anoth hope die;a little mess say take once every number hours it s only been number but pain is back so i took another hope i don t die
3295;ham;Beautiful tomorrow never comes.. When it comes, it's already TODAY.. In the hunt of beautiful tomorrow don't waste your wonderful TODAY.. GOODMORNING:);beauti tomorrow never come come alreadi today hunt beauti tomorrow wast wonder today goodmorn;beautiful tomorrow never comes when it comes it s already today in the hunt of beautiful tomorrow don t waste your wonderful today goodmorning
3296;ham;Dunno lei ü all decide lor. How abt leona? Oops i tot ben is going n i msg him.;dunno lei decid leona oop tot ben go n mug;dunno lei i all decide for how at leona oops i tot ben is going n i mug him
3297;ham;Hi there. We have now moved in2 our pub . Would be great 2 c u if u cud come up.;hi move number pub would great number c cud come;hi there we have now moved in number our pub would be great number c you if you cud come up
3298;spam;Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app ;today soda number end number select receiv number award match pleas call phonenumb quot claim code number standard rate ape;today soda numbers ending number are selected to receive a number award if you have a match please call phonenumber quoting claim code number standard rates ape
3299;spam;This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18 only;messag free welcom new improv sex dog club unsubscrib servic repli stop mug number p number;this message is free welcome to the new improved sex dogging club to unsubscribe from this service reply stop mugs number p number only
3300;ham;"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)";honeybe said sweetest world god laugh amp said wait u haunt met person read mug moral even god crack joke go ge;honeybee said i m d sweetest in d world god laughed amp said wait u haunt met d person reading this mug moral even god can crack jokes go in ge in
3301;ham;Just do what ever is easier for you;ever easier;just do what ever is easier for you
3302;spam;RCT' THNQ Adrian for U text. Rgds Vatian;act adrian text rod vatican;act the adrian for you text rods vatican
3303;ham;Stop calling everyone saying I might have cancer. My throat hurts to talk. I can't be answering everyones calls. If I get one more call I'm not babysitting on Monday;stop call everyon say might cancer throat hurt talk answer everyon call get one call babysit monday;stop calling everyone saying i might have cancer my throat hurts to talk i can t be answering everyone calls if i get one more call i m not babysitting on monday
3304;ham;It'll be tough, but I'll do what I have to;tough;it all be tough but i all do what i have to
3305;ham;IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx;gonnamissu much would say send postcard butcher much chanc merememberin break contract lug ya;i gonnamissu so much i would say i send you a postcard butchered about much chance of merememberin there is of not breaking his contract lug ya
3306;ham;"Ee msg na poortiyagi odalebeku: Hanumanji 7 name 1-Hanuman 2-Bajarangabali 3-Maruti 4-Pavanaputra 5-Sankatmochan 6-Ramaduth 7-Mahaveer ee 7 name  &lt;#&gt;  janarige ivatte kalisidare next saturday olage ondu good news keluviri...! Maretare inde 1 dodda problum nalli siguviri idu matra  &lt;#&gt; % true.. Don't neglet.";mug na poortiyagi odalebeku hanuman number name number hanuman number bajarangabali number marti number pavanaputra number sankatmochan number ramaduth number mahav number name lt janarig latt kalisidar next saturday osag fondu good news keluviri maretar index number daddi problem siguviri du mantra lt true neglect;we mug na poortiyagi odalebeku hanuman number name number hanuman number bajarangabali number marti number pavanaputra number sankatmochan number ramaduth number mahaveer we number name lt it janarige latte kalisidare next saturday osage fondu good news keluviri maretare index number daddy problem all siguviri du mantra lt it true don t neglect
3307;ham;HI DARLIN I FINISH AT 3 DO U 1 2 PICK ME UP OR MEET ME? TEXT BACK ON THIS NUMBER LUV KATE XXX;hi darl finish number number number pick meet text back number lug kate six;hi darling i finish at number do you number number pick me up or meet me text back on this number lug kate six
3308;ham;Set a place for me in your heart and not in your mind, as the mind easily forgets but the heart will always remember. Wish you Happy Valentines Day!;set place heart mind mind easili forget heart alway rememb wish happi valentin day;set a place for me in your heart and not in your mind as the mind easily forgets but the heart will always remember wish you happy valentines day
3309;ham;But i'm surprised she still can guess right lor...;surpris still guess right;but i m surprised she still can guess right for
3310;ham;Okie ü wan meet at bishan? Cos me at bishan now. I'm not driving today.;oki wan meet bashan co bashan drive today;okie i wan meet at bashan cos me at bashan now i m not driving today
3311;ham;Oh ho. Is this the first time u use these type of words;oh ho first time use type word;oh ho is this the first time you use these type of words
3312;ham;HI DARLIN HOW WAS WORK DID U GET INTO TROUBLE? IJUST TALKED TO YOUR MUM ALL MORNING! I HAD A REALLY GOOD TIME LAST NIGHT IM GOIN OUT SOON BUT CALL ME IF U CAN;hi darl work get troubl talk mum morn realli good time last night go soon call;hi darling how was work did you get into trouble just talked to your mum all morning i had a really good time last night i going out soon but call me if you can
3313;ham;I know you are serving. I mean what are you doing now.;know serv mean;i know you are serving i mean what are you doing now
3314;ham;Huh... Hyde park not in mel ah, opps, got confused... Anyway, if tt's e best choice den we juz have to take it...;huh hyde park mel ah pop got confus anyway e best choic den jug take;huh hyde park not in mel ah pops got confused anyway if to s e best choice den we jug have to take it
3315;ham;Oh gei. That happend to me in tron. Maybe ill dl it in 3d when its out;oh get happen iron mayb ill number;oh get that happened to me in iron maybe ill do it in number d when its out
3316;spam;FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com;free messag activ number free text messag repli messag word free term condit visit wow httpaddr;free message activate your number free text messages by replying to this message with the word free for terms conditions visit wow httpaddr
3317;ham;I know girls always safe and selfish know i got it pa. Thank you. good night.;know girl alway safe selfish know got pa thank good night;i know girls always safe and selfish know i got it pa thank you good night
3318;ham;No worries, hope photo shoot went well. have a spiffing fun at workage. ;worri hope photo shoot went well spif fun corkag;no worries hope photo shoot went well have a spiffing fun at corkage
3319;ham;I'm freezing and craving ice. Fml;freez crave ice fl;i m freezing and craving ice fl
3320;ham;Kay... Since we are out already ;kay sinc alreadi;kay since we are out already
3321;ham;Eh sorry leh... I din c ur msg. Not sad already lar. Me watching tv now. U still in office?;eh sorri let din c ur mug sad alreadi lar watch still offic;eh sorry let i din c ur mug not sad already lar me watching to now you still in office
3322;ham;Yo im right by yo work;yo right yo work;yo i right by yo work
3323;ham;Ok darlin i supose it was ok i just worry too much.i have to do some film stuff my mate and then have to babysit again! But you can call me there.xx;ok darl suppos ok worri much film stuff mate babysit call httpaddr;ok darling i suppose it was ok i just worry too much i have to do some film stuff my mate and then have to babysit again but you can call me httpaddr
3324;ham;She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,;said mind go bedroom minut ok see sexi mood came number minut late cake n wife;she said do you mind if i go into the bedroom for a minute ok i see in a sexy mood she came out number minutes late did a cake n my wife
3325;ham;I don wake since. I checked that stuff and saw that its true no available spaces. Pls call the embassy or send a mail to them.;wake sinc check stuff saw true avail space plu call embassi send mail;i don wake since i checked that stuff and saw that its true no available spaces plus call the embassy or send a mail to them
3326;ham;Nope... Juz off from work...;nope jug work;nope jug off from work
3327;ham;Huh so fast... Dat means u havent finished painting?;huh fast mean finish paint;huh so fast at means you haven't finished painting
3328;ham; what number do u live at? Is it 11?;number live number;what number do you live at is it number
3329;ham;No we put party 7 days a week and study lightly, I think we need to draw in some custom checkboxes so they know we're hardcore;put parti number day week studi lightli think need draw custom cheekbon know hardcor;no we put party number days a week and study lightly i think we need to draw in some custom cheekbones so they know we re hardcore
3330;ham;Sac will score big hundred.he is set batsman:-);sac score big httpaddr set batsman;sac will score big httpaddr is set batsman
3331;ham;Send me yetty's number pls.;send petti number plu;send me petty s number plus
3332;ham;How much it will cost approx . Per month.;much cost approv per month;how much it will cost approve per month
3333;ham;Ok... The theory test? when are ü going to book? I think it's on 21 may. Coz thought wanna go out with jiayin. But she isnt free;ok theori test go book think number may coz thought wanna go niacin free;ok the theory test when are i going to book i think it s on number may coz thought wanna go out with niacin but she isn't free
3334;spam;You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000928. PoBox45W2TG150P;contact date servic someon know find call land line number poor number w number number p;you are being contacted by our dating service by someone you know to find out who it is call from a land line number poor number w number to number p
3335;ham;That's fine, have him give me a call if he knows what he wants or has any questions;fine give call know want question;that s fine have him give me a call if he knows what he wants or has any questions
3336;ham;Sorry, got a late start, we're on the way;sorri got late start way;sorry got a late start we re on the way
3337;ham;Then u go back urself lor...;go back ourself;then you go back ourself for
3338;ham;I AM AT THE GAS STATION. GO THERE.;ga station go;i am at the gas station go there
3339;ham;K, if u bored up just come to my home..;k bore come home;k if you bored up just come to my home
3340;ham;Babe !!!! I LOVE YOU !!!! *covers your face in kisses*;babe love cover face kiss;babe i love you covers your face in kisses
3341;ham;Like I made him throw up when we were smoking in our friend's car one time, it was awesome;like made throw smoke friend car one time awesom;like i made him throw up when we were smoking in our friend s car one time it was awesome
3342;ham;Still i have not checked it da. . .;still check;still i have not checked it a
3343;ham;You will go to walmart. I.ll stay.;go walmart httpaddr stay;you will go to walmart httpaddr stay
3344;ham;I haven't forgotten you, i might have a couple bucks to send you tomorrow, k? I love ya too;forgotten might coupl buck send tomorrow k love ya;i haven t forgotten you i might have a couple bucks to send you tomorrow k i love ya too
3345;ham;Oh great. I.ll disturb him more so that we can talk.;oh great httpaddr disturb talk;oh great httpaddr disturb him more so that we can talk
3346;ham;Reverse is cheating. That is not mathematics.;revers cheat mathemat;reverse is cheating that is not mathematics
3347;ham;U're welcome... Caught u using broken english again...;u welcom caught use broken english;u re welcome caught you using broken english again
3348;ham;No problem baby. Is this is a good time to talk? I called and left a message.;problem babi good time talk call left messag;no problem baby is this is a good time to talk i called and left a message
3349;ham;Sorry, I'll call later;sorri call later;sorry i all call later
3350;ham;Oh is it! Which brand?;oh brand;oh is it which brand
3351;ham;Sorry i cant take your call right now. It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.;sorri cant take call right happen r number wast wat want come ill get medic insur abl deliv basic care current shop right medic insur give til friday morn httpaddr see major person guid right insur;sorry i cant take your call right now it so happens that there r number waste do wat you want she can come and ill get her medical insurance and she all be able to deliver and have basic care i m currently shopping for the right medical insurance for her so just give me til friday morning that when httpaddr see the major person that can guide me to the right insurance
3352;ham;At what time are you coming.;time come;at what time are you coming
3353;ham;Call him and say you not coming today ok and tell them not to fool me like this ok;call say come today ok tell fool like ok;call him and say you not coming today ok and tell them not to fool me like this ok
3354;ham;I emailed yifeng my part oredi.. Can ü get it fr him..;email kaifeng part order get fr;i emailed kaifeng my part order can i get it fr him
3355;ham;R u sure they'll understand that! Wine * good idea just had a slurp!;r sure understand wine good idea slurp;r you sure they all understand that wine good idea just had a slurp
3356;ham;Minimum walk is 3miles a day.;minimum walk number mile day;minimum walk is number miles a day
3357;ham;Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema. ;ok problem get taxi c ing tomorrow tuesday tuesday think r go cinema;ok not a problem will get them a taxi c ing tomorrow and tuesday on tuesday think we r all going to the cinema
3358;ham;"Brainless Baby Doll..:-D;-), vehicle sariyag drive madoke barolla..";brainless babi doll vehicl saroyan drive make barilla;brainless baby doll d vehicle saroyan drive make barilla
3359;ham;"I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...";run away u walk slowli amp kill care enough stop;i don t run away from u i walk slowly amp it kills me that you don t care enough to stop me
3360;spam;Sorry I missed your call let's talk when you have the time. I'm on 07090201529;sorri miss call let talk time number;sorry i missed your call let s talk when you have the time i m on number
3361;ham;Please attend the phone:);pleas attend phone;please attend the phone
3362;ham;You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged;hate call accept even singl call mine even messag;you only hate me you can call any but you didn't accept even a single call of mine or even you messaged
3363;ham;No messages on her phone. I'm holding it now;messag phone hold;no messages on her phone i m holding it now
3364;ham;Can... I'm free...;free;can i m free
3365;ham;Yo my trip got postponed, you still stocked up?;yo trip got postpon still stock;yo my trip got postponed you still stocked up
3366;ham;Sorry, I'll call later;sorri call later;sorry i all call later
3367;ham;I am waiting for your call sir.;wait call sir;i am waiting for your call sir
3368;ham;Hey what are you doing. Y no reply pa..;hey repli pa;hey what are you doing y no reply pa
3369;ham;Hey elaine, is today's meeting still on?;hey elain today meet still;hey elaine is today s meeting still on
3370;ham;Sorry i've not gone to that place. I.ll do so tomorrow. Really sorry.;sorri gone place httpaddr tomorrow realli sorri;sorry i we not gone to that place httpaddr do so tomorrow really sorry
3371;ham;Most of the tiime when i don't let you hug me it's so i don't break into tears.;time let hug break tear;most of the time when i don t let you hug me it s so i don t break into tears
3372;ham;Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow;tomorrow go theatr come wherev call tell come tomorrow;tomorrow i am not going to theatre so i can come wherever you call me tell me where and when to come tomorrow
3373;ham;And now electricity just went out fml.;electr went fl;and now electricity just went out fl
3374;ham;Looks like you found something to do other than smoke, great job!;look like found someth smoke great job;looks like you found something to do other than smoke great job
3375;ham;Also andros ice etc etc;also andro ice et et;also andros ice et et
3376;ham;:) ;;
3377;ham;Good afternon, my love. How are today? I hope your good and maybe have some interviews. I wake and miss you babe. A passionate kiss from across the sea;good afternoon love today hope good mayb interview wake miss babe passion kiss across sea;good afternoon my love how are today i hope your good and maybe have some interviews i wake and miss you babe a passionate kiss from across the sea
3378;ham;Yup. Wun believe wat? U really neva c e msg i sent shuhui?;yup run believ wat realli neva c e mug sent shufu;yup run believe wat you really neva c e mug i sent shufu
3379;ham;Hows that watch resizing;how watch resiz;hows that watch resizing
3380;ham;Dear umma she called me now :-);dear emma call;dear emma she called me now
3381;ham;Just finished. Missing you plenty;finish miss plenti;just finished missing you plenty
3382;spam;complimentary 4 STAR Ibiza Holiday or £10,000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+;complimentari number star ibiza holiday moneysymb number number cash need urgent collect phonenumb landmin lose box number number number ppm number;complimentary number star ibiza holiday or moneysymb number number cash needs your urgent collection phonenumber now from landmine not to lose out box number so number we number ppm number
3383;ham;Well, I meant as opposed to my drunken night of before;well meant oppos drunken night;well i meant as opposed to my drunken night of before
3384;ham;K... Must book a not huh? so going for yoga basic on sunday?;k must book huh go yoga basic sunday;k must book a not huh so going for yoga basic on sunday
3385;spam;FREE MSG:We billed your mobile number by mistake from shortcode 83332.Please call 08081263000 to have charges refunded.This call will be free from a BT landline;free mug bill mobil number mistak shortcak httpaddr call phonenumb charg httpaddr call free bt landmin;free mug we billed your mobile number by mistake from shortcake httpaddr call phonenumber to have charges httpaddr call will be free from a bt landmine
3386;ham;Ok can...;ok;ok can
3387;ham;Oops - am at my mum's in somerset... Bit far! Back tomo, see you soon x;oop mum somerset bit far back see soon x;oops am at my mum s in somerset bit far back too see you soon x
3388;ham;So u workin overtime nigpun?;work overtim pigpen;so you working overtime pigpen
3389;ham;Same as kallis dismissial in 2nd test:-).;kali dismiss number nd test;same as kalis dismissal in number nd test
3390;ham;O. Guess they both got screwd;guess got screw;o guess they both got screw
3391;spam;Please CALL 08712402972 immediately as there is an urgent message waiting for you;pleas call phonenumb immedi urgent messag wait;please call phonenumber immediately as there is an urgent message waiting for you
3392;ham;I'm in a meeting, call me later at;meet call later;i m in a meeting call me later at
3393;ham;What r u cooking me for dinner?;r cook dinner;what r you cooking me for dinner
3394;ham;Ok thanx...;ok;ok than
3395;ham;Bull. Your plan was to go floating off to IKEA with me without a care in the world. So i have to live with your mess another day.;bull plan go float ikea without care world live mess anoth day;bull your plan was to go floating off to ikea with me without a care in the world so i have to live with your mess another day
3396;ham;Then i buy.;buy;then i buy
3397;spam;URGENT! Your Mobile number has been awarded with a £2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only;urgent mobil number award moneysymb number bonu caller prize call phonenumb land line valid number;urgent your mobile number has been awarded with a moneysymb number bonus caller prize call phonenumber from land line valid number his only
3398;ham;Heehee that was so funny tho;heed funni tho;heeded that was so funny tho
3399;ham;It only does simple arithmetic not percentages.;simpl arithmet percentag;it only does simple arithmetic not percentages
3400;ham;Yeah we wouldn't leave for an hour at least, how's 4 sound?;yeah would leav hour least number sound;yeah we would t leave for an hour at least how s number sound
3401;spam;As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589;valu custom pleas advis follow recent review mob award moneysymb number bonu prize call number;as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a moneysymb number bonus prize call number
3402;ham;Thanks honey. Have a great day.;thank honey great day;thanks honey have a great day
3403;ham;"'An Amazing Quote'' - ""Sometimes in life its difficult to decide whats wrong!! a lie that brings a smile or the truth that brings a tear....""";amaz quot sometim life difficult decid what wrong lie bring smile truth bring tear;an amazing quote sometimes in life its difficult to decide whats wrong a lie that brings a smile or the truth that brings a tear
3404;ham;"Good night my dear.. Sleepwell&amp;Take care";good night dear sleepwalk amp take care;good night my dear sleepwalk amp take care
3405;ham;Then ü ask dad to pick ü up lar... Ü wan 2 stay until 6 meh...;ask dad pick lar wan number stay number;then i ask dad to pick i up lar i wan number stay until number me
3406;ham;Jus chillaxin, what up;chilblain;just chilblain what up
3407;ham;HEY DAS COOL... IKNOW ALL 2 WELLDA PERIL OF STUDENTFINANCIAL CRISIS!SPK 2 U L8R.;hey cool know number well peril studentfinanci crisi spi number l number r;hey was cool know all number well peril of studentfinancial crisis spy number you l number r
3408;ham;"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOODMORNING";beauti truth graviti read care heart feel light someon feel heavi someon leav goodmorn;beautiful truth against gravity read carefully our heart feels light when someone is in it but it feels very heavy when someone leaves it goodmorning
3409;spam;Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705;want new nokia number color phone deliveredtomorrow number free minut mobil number free text free camcord repli call number;do you want a new nokia number i color phone deliveredtomorrow with number free minutes to any mobile number free texts free camcorder reply or call number
3410;ham;Whats that coming over the hill..... Is it a monster! Hope you have a great day. Things r going fine here, busy though! ;what come hill monster hope great day thing r go fine busi though;whats that coming over the hill is it a monster hope you have a great day things r going fine here busy though
3411;ham;"Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.";joy father john john ____ joy father an lt question tri answer;joy s father is john then john is the ____ of joy s father if you ans the you have lt it i is s is question try to answer
3412;ham;Only once then after ill obey all yours.;ill obey;only once then after ill obey all yours
3413;ham;No she didnt. I will search online and let you know.;search onlin let know;no she didn't i will search online and let you know
3414;ham;Where do you need to go to get it?;need go get;where do you need to go to get it
3415;ham;No pic. Please re-send.;pic pleas send;no pic please re send
3416;ham;He remains a bro amongst bros;remain pro amongst bro;he remains a pro amongst bros
3417;ham;Uhhhhrmm isnt having tb test bad when youre sick;uhhhhrmm tb test bad sick;uhhhhrmm isn't having tb test bad when your sick
3418;ham;But i haf enuff space got like 4 mb...;snuff space got like number mb;but i had snuff space got like number mb
3419;spam;LIFE has never been this much fun and great until you came in. You made it truly special for me. I won't forget you! enjoy @ one gbp/sms;life never much fun great came made truli special forget enjoy one gap sum;life has never been this much fun and great until you came in you made it truly special for me i won t forget you enjoy one gap sums
3420;spam;Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW;want new video phone number anytim network mind number inclus video call download number per week free deltomorrow call phonenumb repli;do you want a new video phone number anytime any network mind number inclusive video calls and downloads number per week free deltomorrow call phonenumber or reply now
3421;spam;As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066368470;valu custom pleas advis follow recent review mob award moneysymb number bonu prize call number;as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a moneysymb number bonus prize call number
3422;spam;Welcome! Please reply with your AGE and GENDER to begin. e.g 24M;welcom pleas repli age gender begin e g number;welcome please reply with your age and gender to begin e g number m
3423;spam;Freemsg: 1-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: 08448714184 Stop?txt stop landlineonly;free number month unlimit free call activ smartcal text call number subscript number gap unlimit call help phonenumb stop text stop landlineonli;freeing number month unlimited free calls activate smartcall text call to no number subscript number gap we unlimited calls help phonenumber stop text stop landlineonly
3424;spam;Had your mobile 10 mths? Update to latest Orange camera/video phones for FREE. Save £s with Free texts/weekend calls. Text YES for a callback orno to opt out;mobil number myth updat latest orang camera video phone free save moneysymb free text weekend call text ye callback porno opt;had your mobile number myths update to latest orange camera video phones for free save moneysymb s with free texts weekend calls text yes for a callback porno to opt out
3425;spam;Am new 2 club & dont fink we met yet Will B gr8 2 C U Please leave msg 2day wiv ur area 09099726553 reply promised CARLIE x Calls£1/minMobsmore LKPOBOX177HP51FL;new number club fink met yet b gr number number c pleas leav mug number day win ur area phonenumb repli promis charli x call moneysymb number minmobsmor lkpobox number number fl;am new number club don't fink we met yet will b gr number number c you please leave mug number day win ur area phonenumber reply promised charlie x calls moneysymb number minmobsmore lkpobox number he number fl
3426;ham;True. Its easier with her here.;true easier;true its easier with her here
3427;ham;Sure but since my parents will be working on Tuesday I don't really need a cover story;sure sinc parent work tuesday realli need cover stori;sure but since my parents will be working on tuesday i don t really need a cover story
3428;ham;Haha okay... Today weekend leh... ;hah okay today weekend let;hah okay today weekend let
3429;ham;Hi darlin did youPhone me? Im atHome if youwanna chat.;hi darl youphon youwanna chat;hi darling did youphone me i those if youwanna chat
3430;ham;I don't know jack shit about anything or i'd say/ask something helpful but if you want you can pretend that I did and just text me whatever in response to the hypotheticalhuagauahahuagahyuhagga;know jack shit anyth say ask someth help want pretend text whatev respons hypotheticalhuagauahahuagahyuhagga;i don t know jack shit about anything or i d say ask something helpful but if you want you can pretend that i did and just text me whatever in response to the hypotheticalhuagauahahuagahyuhagga
3431;ham;You've always been the brainy one.;alway braini one;you we always been the brainy one
3432;ham;"Yeah if we do have to get a random dude we need to change our info sheets to PARTY  &lt;#&gt; /7 NEVER STUDY just to be safe";yeah get random dude need chang info sheet parti lt number never studi safe;yeah if we do have to get a random dude we need to change our info sheets to party lt it number never study just to be safe
3433;spam;Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.;camera award six digit camera call phonenumb fromm landmin deliveri within number day;camera you are awarded a six digital camera call phonenumber fromm landmine delivery within number days
3434;ham;"Christmas is An occasion that is Celebrated as a Reflection of UR... Values..., Desires..., Affections...&amp; Traditions.... Have an ideal Christmas...";christma occas celebr reflect ur valu desir affect amp tradit ideal christma;christmas is an occasion that is celebrated as a reflection of ur values desires affections amp traditions have an ideal christmas
3435;ham;Sending you greetings of joy and happiness. Do have a gr8 evening;send greet joy happi gr number even;sending you greetings of joy and happiness do have a gr number evening
3436;ham;Hi darlin i cantdo anythingtomorrow as myparents aretaking me outfor a meal. when are u free? Katexxx;hi darl canto anythingtomorrow parent retak outfox meal free katexxx;hi darling i canto anythingtomorrow as parents retaking me outfox a meal when are you free katexxx
3437;ham;If india win or level series means this is record:);india win level seri mean record;if india win or level series means this is record
3438;ham;Then what about further plan?;plan;then what about further plan
3439;ham;Its good to hear from you;good hear;its good to hear from you
3440;ham;awesome, how do I deal with the gate? Charles told me last night but, uh, yeah;awesom deal gate charl told last night uh yeah;awesome how do i deal with the gate charles told me last night but uh yeah
3441;ham;What time you thinkin of goin?;time think go;what time you thinking of going
3442;spam;Get a FREE mobile video player FREE movie. To collect text GO to 89105. Its free! Extra films can be ordered t's and c's apply. 18 yrs only;get free mobil video player free movi collect text go number free extra film order c appli number ye;get a free mobile video player free movie to collect text go to number its free extra films can be ordered t s and c s apply number yes only
3443;spam;Save money on wedding lingerie at www.bridal.petticoatdreams.co.uk Choose from a superb selection with national delivery. Brought to you by WeddingFriend;save money wed lingeri httpaddr choos superb select nation deliveri brought weddingfriend;save money on wedding lingerie at httpaddr choose from a superb selection with national delivery brought to you by weddingfriend
3444;ham;Your board is working fine. The issue of overheating is also reslove. But still software inst is pending. I will come around 8'o clock.;board work fine issu overh also resolv still softwar inst pend come around number clock;your board is working fine the issue of overheating is also resolve but still software inst is pending i will come around number o clock
3445;ham;Yes but I don't care cause I know its there!;ye care caus know;yes but i don t care cause i know its there
3446;ham;"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine ""KUDI""yarasu dhina vaazhthukkal. ..";whiskey brandi rum gin beer vodka scotch shaman wine audi yard china vaazhthukk;whiskey brandy rum gin beer vodka scotch shaman wine audi yards china vaazhthukkal
3447;ham;Mon okie lor... Haha, best is cheap n gd food la, ex oso okie... Depends on whether wana eat western or chinese food... Den which u prefer... ;mon oki hah best cheap n gd food la ex oki depend whether want eat western chines food den prefer;mon okie for hah best is cheap n gd food la ex so okie depends on whether want eat western or chinese food den which you prefer
3448;ham;Sitting ard nothing to do lor. U leh busy w work?;sit ard noth let busi w work;sitting ard nothing to do for you let busy w work
3449;ham;"Its  &lt;#&gt; k here oh. Should i send home for sale.";lt k oh send home sale;its lt it k here oh should i send home for sale
3450;ham;Sorry. || mail? || ;sorri mail;sorry mail
3451;ham;Ya just telling abt tht incident..;ya tell incid;ya just telling at the incident
3452;ham;Yes we were outside for like 2 hours. And I called my whole family to wake them up cause it started at 1 am;ye outsid like number hour call whole famili wake caus start number;yes we were outside for like number hours and i called my whole family to wake them up cause it started at number am
3453;ham;Ugh just got outta class;ugh got outta class;ugh just got outta class
3454;ham;Nowadays people are notixiquating the laxinorficated opportunity for bambling of entropication.... Have you ever oblisingately opted ur books for the masteriastering amplikater of fidalfication? It is very champlaxigating, i think it is atrocious.. Wotz Ur Opinion???? Junna;nowaday peopl notixiqu laxinorf opportun gambl eutroph ever oblising opt ur book masteriast ampliat fidalf champlaxig think atroci wot ur opinion jenna;nowadays people are notixiquating the laxinorficated opportunity for gambling of eutrophication have you ever oblisingately opted ur books for the masteriastering ampliate of fidalfication it is very champlaxigating i think it is atrocious wot ur opinion jenna
3455;ham;I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.;file bag work call tell find anyth room;i don't have any of your file in my bag i was in work when you called me i all tell you if i find anything in my room
3456;ham;No need lar. Jus testing e phone card. Dunno network not gd i thk. Me waiting 4 my sis 2 finish bathing so i can bathe. Dun disturb u liao u cleaning ur room.;need lar test e phone card dunno network gd wait number si number finish bath bath dun disturb liao clean ur room;no need lar just testing e phone card dunno network not gd i the me waiting number my sis number finish bathing so i can bathe dun disturb you liao you cleaning ur room
3457;ham;Ok. I.ll do you right later.;ok httpaddr right later;ok httpaddr do you right later
3458;ham;Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8;friendship poem dear dear r near hear get fear live cheer tear r alway dear guy ni number;friendship poem dear o dear you r not near but i can hear don't get fear live with cheer no more tear you r always my dear guy ni number
